# Lunar Core 2.4.0 Handbook
# Created 2024/07/31 19:31:06


# Commands
/account {create | delete} [username] (reserved player uid). 创建或删除帐户。
/avatar {cur | all | lineup} lv(level) p(ascension) e(eidolon) s(skill levels). 设置当前角色的属性
/clear {relics | lightcones | materials | items} lv(filter level). 从目标玩家的库存中移除过滤物品。
/energy. 补充当前阵容中的所有角色能量。
/gender {male | female}。设置玩家性别。
/give [item id] x(amount) lv(level) r(rank) p(promotion). 给予目标玩家一件物品。
/giveall {materials | avatars | lightcones | relics | usables} lv(level). 向目标玩家提供物品。
/heal. 治疗你的角色。
/help. 显示可用命令的列表。
/kick @[player id]. 将一名玩家踢出服务器。
/lineup [avatar ids]. 使用风险自负！使用指定的头像 ID 设置您当前的阵容。
/mail [content]. 向目标玩家发送系统邮件。
/move. 移动玩家到指定位置。
/permission {add | remove | clear} [permission]. 给予/删除目标玩家的权限。
/refill - 在开放世界中补充你的技能点。
/reload. 重新加载服务器配置。
/scene [scene id] [floor id]. 将玩家传送到指定场景。
/setlevel [level] - 设置目标玩家的开拓者等级。
/spawn [npc monster id/prop id] s[stage id] x[amount] lv[level] r[radius] <battle monster ids...>. 在目标玩家附近生成一个怪物或道具。
/status. 显示服务器状态。
/stop - 停止服务器
/unstuck @[player id]. 脱离卡死。如果离线玩家处于未加载的场景中，则解除该卡住。
/worldlevel [world level]. 设置目标玩家的均衡等级。


# Avatars
1001 : 三月七
1002 : 丹恒
1003 : 姬子
1004 : 瓦尔特
1005 : 卡芙卡
1006 : 银狼
1008 : 阿兰
1009 : 艾丝妲
1013 : 黑塔
1101 : 布洛妮娅
1102 : 希儿
1103 : 希露瓦
1104 : 杰帕德
1105 : 娜塔莎
1106 : 佩拉
1107 : 克拉拉
1108 : 桑博
1109 : 虎克
1110 : 玲可
1111 : 卢卡
1112 : 托帕&账账
1201 : 青雀
1202 : 停云
1203 : 罗刹
1204 : 景元
1205 : 刃
1206 : 素裳
1207 : 驭空
1208 : 符玄
1209 : 彦卿
1210 : 桂乃芬
1211 : 白露
1212 : 镜流
1213 : 丹恒•饮月
1214 : 雪衣
1215 : 寒鸦
1217 : 藿藿
1218 : 椒丘
1221 : 云璃
1224 : 三月七
1301 : 加拉赫
1302 : 银枝
1303 : 阮•梅
1304 : 砂金
1305 : 真理医生
1306 : 花火
1307 : 黑天鹅
1308 : 黄泉
1309 : 知更鸟
1310 : 流萤
1312 : 米沙
1314 : 翡翠
1315 : 波提欧
8001 : {NICKNAME}
8002 : {NICKNAME}
8003 : {NICKNAME}
8004 : {NICKNAME}
8005 : {NICKNAME}
8006 : {NICKNAME}


# Items
1 : 星琼
2 : 信用点
3 : 古老梦华
11 : 开拓力
12 : 后备开拓力
21 : 经验
22 : 里程
23 : 活跃度
24 : 开拓进行时
25 : 归程轨迹
31 : 宇宙碎片
32 : 技能点
33 : 沉浸器
41 : 成就点数
51 : 无名客的经验
52 : 无名客的经验
53 : 发展资金
101 : 星轨通票
102 : 星轨专票
170 : 探索积分
171 : 探索积分
